Round,Group_Type,Group_Value,Accuracy,Correct,Total
1,Overall,All,96.15384615384616,750,780
1,Category,01,96.66666666666667,58,60
1,Category,02,98.33333333333333,59,60
1,Category,03,98.33333333333333,59,60
1,Category,05,100.0,60,60
1,Category,06,98.33333333333333,59,60
1,Category,07,98.33333333333333,59,60
1,Category,08,98.33333333333333,59,60
1,Category,09,100.0,60,60
1,Category,10,100.0,60,60
1,Category,11,98.33333333333333,59,60
1,Category,13,100.0,60,60
1,Category,14,100.0,60,60
1,Category,16,100.0,15,15
1,Category,17,13.333333333333334,2,15
1,Category,18,86.66666666666667,13,15
1,Category,19,53.333333333333336,8,15
1,Suffix,_A,96.15384615384616,250,260
1,Suffix,_B,95.76923076923077,249,260
1,Suffix,_C,96.53846153846153,251,260
1,Strategy,.1.,100.0,180,180
1,Strategy,.2.,98.88888888888889,178,180
1,Strategy,.3.,98.33333333333333,177,180
1,Strategy,.4.,98.33333333333333,177,180
2,Overall,All,95.30638852672752,731,767
2,Category,01,95.0,57,60
2,Category,02,98.33333333333333,59,60
2,Category,03,100.0,60,60
2,Category,05,98.24561403508771,56,57
2,Category,06,96.61016949152543,57,59
2,Category,07,98.30508474576271,58,59
2,Category,08,94.82758620689656,55,58
2,Category,09,98.30508474576271,58,59
2,Category,10,100.0,58,58
2,Category,11,98.33333333333333,59,60
2,Category,13,100.0,58,58
2,Category,14,100.0,60,60
2,Category,16,100.0,15,15
2,Category,17,13.333333333333334,2,15
2,Category,18,73.33333333333333,11,15
2,Category,19,57.14285714285714,8,14
2,Suffix,_A,95.63492063492063,241,252
2,Suffix,_B,94.90196078431372,242,255
2,Suffix,_C,95.38461538461539,248,260
2,Strategy,.1.,100.0,168,168
2,Strategy,.2.,97.77777777777777,176,180
2,Strategy,.3.,97.77777777777777,176,180
2,Strategy,.4.,97.22222222222221,175,180
3,Overall,All,96.3302752293578,735,763
3,Category,01,95.0,57,60
3,Category,02,96.66666666666667,58,60
3,Category,03,100.0,60,60
3,Category,05,100.0,57,57
3,Category,06,96.61016949152543,57,59
3,Category,07,100.0,57,57
3,Category,08,100.0,58,58
3,Category,09,100.0,58,58
3,Category,10,98.27586206896551,57,58
3,Category,11,100.0,60,60
3,Category,13,100.0,58,58
3,Category,14,100.0,60,60
3,Category,16,100.0,15,15
3,Category,17,20.0,3,15
3,Category,18,73.33333333333333,11,15
3,Category,19,69.23076923076923,9,13
3,Suffix,_A,97.60956175298804,245,251
3,Suffix,_B,95.23809523809523,240,252
3,Suffix,_C,96.15384615384616,250,260
3,Strategy,.1.,100.0,166,166
3,Strategy,.2.,97.77777777777777,176,180
3,Strategy,.3.,98.88888888888889,178,180
3,Strategy,.4.,98.88268156424581,177,179
4,Overall,All,93.04812834224599,522,561
4,Category,01,91.11111111111111,41,45
4,Category,02,93.02325581395348,40,43
4,Category,03,100.0,45,45
4,Category,05,88.63636363636364,39,44
4,Category,06,91.11111111111111,41,45
4,Category,07,95.45454545454545,42,44
4,Category,08,95.55555555555556,43,45
4,Category,09,100.0,45,45
4,Category,10,97.72727272727273,43,44
4,Category,11,97.77777777777777,44,45
4,Category,13,97.77777777777777,44,45
4,Category,14,95.34883720930233,41,43
4,Category,16,100.0,3,3
4,Category,17,33.33333333333333,3,9
4,Category,18,46.666666666666664,7,15
4,Category,19,100.0,1,1
4,Suffix,_A,95.65217391304348,176,184
4,Suffix,_B,88.10810810810811,163,185
4,Suffix,_C,95.3125,183,192
4,Strategy,.2.,98.29545454545455,173,176
4,Strategy,.3.,88.8268156424581,159,179
4,Strategy,.4.,98.87640449438202,176,178
5,Overall,All,96.40718562874252,322,334
5,Category,01,96.7741935483871,30,31
5,Category,02,95.83333333333334,23,24
5,Category,03,100.0,26,26
5,Category,05,88.46153846153845,23,26
5,Category,06,95.65217391304348,22,23
5,Category,07,96.29629629629629,26,27
5,Category,08,97.05882352941177,33,34
5,Category,09,96.0,24,25
5,Category,10,100.0,29,29
5,Category,11,100.0,31,31
5,Category,13,100.0,25,25
5,Category,14,96.0,24,25
5,Category,17,66.66666666666666,2,3
5,Category,18,80.0,4,5
5,Suffix,_A,99.0,99,100
5,Suffix,_B,93.4065934065934,85,91
5,Suffix,_C,96.5034965034965,138,143
5,Strategy,.2.,99.0909090909091,109,110
5,Strategy,.3.,87.5,42,48
5,Strategy,.4.,98.21428571428571,165,168
6,Overall,All,97.43589743589743,38,39
6,Category,01,100.0,7,7
6,Category,02,100.0,3,3
6,Category,03,100.0,5,5
6,Category,06,100.0,5,5
6,Category,07,100.0,3,3
6,Category,08,100.0,1,1
6,Category,10,100.0,3,3
6,Category,11,100.0,5,5
6,Category,13,100.0,2,2
6,Category,14,100.0,4,4
6,Category,18,0.0,0,1
6,Suffix,_A,100.0,6,6
6,Suffix,_B,100.0,6,6
6,Suffix,_C,96.29629629629629,26,27
6,Strategy,.2.,100.0,35,35
6,Strategy,.3.,100.0,1,1
6,Strategy,.4.,100.0,2,2
7,Overall,All,77.77777777777779,7,9
7,Category,01,100.0,2,2
7,Category,06,100.0,1,1
7,Category,07,100.0,1,1
7,Category,10,100.0,1,1
7,Category,11,50.0,1,2
7,Category,14,100.0,1,1
7,Category,18,0.0,0,1
7,Suffix,_A,0.0,0,1
7,Suffix,_C,87.5,7,8
7,Strategy,.2.,100.0,7,7
7,Strategy,.3.,0.0,0,1
8,Overall,All,66.66666666666666,2,3
8,Category,10,100.0,1,1
8,Category,11,100.0,1,1
8,Category,18,0.0,0,1
8,Suffix,_A,100.0,1,1
8,Suffix,_C,50.0,1,2
8,Strategy,.2.,100.0,1,1
8,Strategy,.3.,100.0,1,1
9,Overall,All,0.0,0,1
9,Category,18,0.0,0,1
9,Suffix,_C,0.0,0,1
10,Overall,All,0.0,0,1
10,Category,18,0.0,0,1
10,Suffix,_C,0.0,0,1
