Category,Gaming_Acc,Gaming_Match,GCat_Acc,GCat_Match,SCat_Acc,SCat_Match
01,86.66666666666667,52/60,75.0,39/52,75.0,39/52
02,96.66666666666667,58/60,94.82758620689656,55/58,94.82758620689656,55/58
03,86.66666666666667,52/60,84.61538461538461,44/52,67.3076923076923,35/52
05,85.0,51/60,100.0,51/51,100.0,51/51
06,83.33333333333334,50/60,100.0,50/50,98.0,49/50
07,81.66666666666667,49/60,89.79591836734694,44/49,63.26530612244898,31/49
08,86.66666666666667,52/60,96.15384615384616,50/52,88.46153846153845,46/52
09,100.0,60/60,100.0,60/60,98.33333333333333,59/60
10,93.33333333333333,56/60,100.0,56/56,100.0,56/56
11,91.66666666666666,55/60,96.36363636363636,53/55,89.0909090909091,49/55
13,100.0,60/60,100.0,60/60,100.0,60/60
14,100.0,60/60,46.666666666666664,28/60,46.666666666666664,28/60
16,93.33333333333333,14/15,0.0,0/0,0.0,0/0
17,80.0,12/15,0.0,0/0,0.0,0/0
18,80.0,12/15,0.0,0/0,0.0,0/0
19,73.33333333333333,11/15,0.0,0/0,0.0,0/0
